,text,movie_url,user_name,user_id,tweet_url,tweet_id,base_tweet_id,tweet_type,fav,rt,link,img_url
14,"詳細はこちら
https://t.co/yO1ix7EAkj",yV2sBzJETqujzpJI.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680593955145277441,1680593955145277441,1680593950808363008,child,2,1,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dmidv00185%2F%3Fdmmref%3Dactress_1075464%26i3_ref%3Dlist%26i3_ord%3D3%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
17,淫乱でか尻奥様は僕達の性欲処理肉便器 https://t.co/NmW9vbOGTa,GZ0iisevLOmqpwjK.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680609049061240832,1680609049061240832,1680609049061240832,parent,73,17,,
16,"詳細はこちら
https://t.co/TCqiZZgWhk",GZ0iisevLOmqpwjK.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680609051129053184,1680609051129053184,1680609049061240832,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dflav00295%2F%3Fi3_ref%3Dsearch%26i3_ord%3D4%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
19,美少女と濃厚オヤジのべろちゅうフルコース https://t.co/PRnnnJ8CEB,hIcf2rW2VK4Bs4ay.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680684542296993792,1680684542296993792,1680684542296993792,parent,32,8,,
18,"詳細はこちら
https://t.co/wDLVEjRWfi",hIcf2rW2VK4Bs4ay.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680684545212030976,1680684545212030976,1680684542296993792,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dmidv00228%2F%3Fdmmref%3Dactress_1075464%26i3_ref%3Dlist%26i3_ord%3D2%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
21,僕の部屋がイジメっ子ギャルたちの溜まり場になってしまった https://t.co/s7BLtz8Eqb,TJJtbb4TXKINEzbM.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680760038569410562,1680760038569410562,1680760038569410562,parent,57,13,,
20,"詳細はこちら
https://t.co/DUjJjGRoHD",TJJtbb4TXKINEzbM.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680760043271237632,1680760043271237632,1680760038569410562,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dmird00220%2F%3Fi3_ref%3Dsearch%26i3_ord%3D4%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
23,このご時世に不謹慎な中だし大乱交 https://t.co/EzIKReGRf7,_El29GxmCNBZFHmX.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680865764633620481,1680865764633620481,1680865764633620481,parent,53,14,,
22,"詳細はこちら
https://t.co/vRx3vy6Cht",_El29GxmCNBZFHmX.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680865766642688000,1680865766642688000,1680865764633620481,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dh_1605stsk00046%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
25,淫らな腰振りノーパン巨尻痴女 https://t.co/LgOhYD3F4N,TfMI8IDd0yEqcnj4.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680895975517462530,1680895975517462530,1680895975517462530,parent,19,7,,
24,"詳細はこちら
https://t.co/BuRRrd7Wia",TfMI8IDd0yEqcnj4.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680895977945985024,1680895977945985024,1680895975517462530,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Djufd00365%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
27,Fカップの部活マネージャーが男子部員の性処理ペットに https://t.co/mEko3hxIU8,5B9pAOyNAbpEfTpx.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680911070184239104,1680911070184239104,1680911070184239104,parent,105,23,,
